source,target,weight
AVHL,RIFR,1
AVHL,RIMR,1
AVHL,RIR,2
AVHL,SABD,1
AVHL,SMBDR,4
AVHL,SMBVR,4
AVHL,VD01,1
AVHR,ADLR,3
AVHR,AQR,1
AVHR,ASKR,1
AVHR,AVAL,1
AVHR,AVBL,3
AVHR,AVBR,1
AVHR,AVDR,1
AVHR,AVFL,2
AVHR,AVFR,2
AVHR,AVG,1
AVHR,AVHL,1
AVHR,AVJR,5
AVHR,AWBL,1
AVHR,DVA,1
AVHR,PVPL,9
AVHR,RIGL,1
AVHR,RIR,8
AVHR,SMBDL,3
AVHR,SMBVL,1
AVJL,AINL,1
AVJL,ASHR,1
AVJL,AVAR,1
AVJL,AVBL,5
AVJL,AVBR,6
AVJL,AVDL,1
AVJL,AVEL,1
AVJL,AVHL,3
AVJL,AVJR,1
AVJL,PVCL,5
AVJL,PVCR,1
AVJL,PVNR,4
AVJL,RIFR,1
AVJL,RIS,1
AVJL,SABD,1
AVJR,ALML,3
AVJR,AVAL,4
AVJR,AVAR,5
AVJR,AVBL,10
AVJR,AVBR,2
AVJR,AVDL,1
AVJR,AVDR,7
AVJR,AVER,3
AVJR,AVFR,1
AVJR,AVJL,1
AVJR,AVM,1
AVJR,FLPR,2
AVJR,PVCL,5
AVJR,PVCR,7
AVJR,PVQR,1
AVJR,RID,2
AVJR,SABVL,3
AVKL,AVBL,2
AVKL,AVEL,4
AVKL,AVER,2
AVKL,AVM,2
AVKL,DVA,1
AVKL,PDEL,2
AVKL,PDER,1
AVKL,RIML,3
AVKL,RIMR,2
AVKL,RIVL,5
AVKL,RMDL,1
AVKL,RMFL,2
AVKL,SAADL,1
AVKL,SAADR,3
AVKL,SIAVR,2
AVKL,SIBDR,2
AVKL,VB01,3
AVKR,AVKL,3
AVKR,BDUL,3
AVKR,PVM,2
AVKR,PVPL,1
AVKR,PVQL,1
AVKR,RIGL,1
AVKR,RIML,5
AVKR,RIMR,3
AVKR,RMDL,1
AVKR,RMDR,2
AVKR,RMFL,2
AVKR,RMGL,2
AVKR,RMHR,1
AVKR,SAADL,2
